Date,Close,High,Low,Open,Volume,value,value_classification,timestamp,time_until_update,US Dollar Index,Federal Funds Rate,SMA50,SMA200,delta,gain,loss,avg_gain,avg_loss,rs,RSI,MA20,stddev,UpperBand,LowerBand,Daily_Return
2018-04-12,7889.25,7899.22998046875,6806.509765625,6955.3798828125,8906250240,18,Extreme Fear,1523491200,,89.75,1.51,,,920.93017578125,920.93017578125,-0.0,135.559326171875,195.50359235491072,0.6933853467295122,40.94669580486621,7759.39599609375,823.4657384901506,9406.32747307405,6112.464519113449,13.215957347142847
2018-04-13,7895.9599609375,8183.9599609375,7758.93017578125,7901.08984375,7764460032,23,Extreme Fear,1523577600,,89.80000305175781,1.51,8829.740615234376,,6.7099609375,6.7099609375,-0.0,125.24215262276786,195.50359235491072,0.6406130501960671,39.047175086136754,7739.1509765625,814.380277098375,9367.91153075925,6110.39042236575,0.08505194964667506
2018-04-17,7902.08984375,8285.9599609375,7881.72021484375,8071.66015625,6900879872,26,Fear,1523923200,,89.5199966430664,1.51,8804.371611328124,,6.1298828125,6.1298828125,-0.0,125.68000139508929,147.63075474330358,0.8513131400948151,45.98428659406669,7717.33798828125,803.2527105309326,9323.843409343115,6110.832567219384,0.07763315471234211
2018-04-18,8163.419921875,8197.7998046875,7886.009765625,7944.43017578125,6529909760,24,Extreme Fear,1524009600,,89.62000274658203,1.51,8791.025009765624,,261.330078125,261.330078125,-0.0,144.346435546875,120.74787248883929,1.195436677861276,54.450975057309876,7693.97646484375,781.8001411785066,9257.576747200763,6130.376182486737,3.307100821331388
2018-04-19,8294.3095703125,8298.6904296875,8138.77978515625,8159.27001953125,7063209984,25,Extreme Fear,1524096000,,89.94000244140625,1.51,8817.80580078125,,130.8896484375,130.8896484375,-0.0,145.02141462053572,120.74787248883929,1.2010266651608295,54.566656741210814,7663.01845703125,742.2258774998444,9147.47021203094,6178.566702031561,1.6033678248838168
2018-04-20,8845.830078125,8880.23046875,8244.5400390625,8286.8798828125,8438110208,26,Fear,1524182400,,90.31999969482422,1.51,8839.64240234375,,551.5205078125,551.5205078125,-0.0,184.41573660714286,64.40645926339286,2.8633112069236275,74.11546866305123,7658.845947265625,734.9315026417142,9128.708952549054,6188.982941982196,6.649384172813311
2018-04-23,8930.8798828125,8958.5498046875,8788.8095703125,8794.3896484375,6925190144,28,Fear,1524441600,,90.94000244140624,1.51,8865.83400390625,,85.0498046875,85.0498046875,-0.0,190.49072265625,58.556431361607146,3.253113590203284,76.48781348555039,7668.966455078125,751.6399182806828,9172.24629163949,6165.68661851676,0.9614677643178027
2018-04-24,9697.5,9732.6103515625,8927.830078125,8934.33984375,10678800384,29,Fear,1524528000,,90.7699966430664,1.51,8894.47220703125,,766.6201171875,766.6201171875,-0.0,218.65572684151786,58.556431361607146,3.734102672535484,78.87667274726803,7709.86044921875,838.2346250639474,9386.329699346645,6033.391199090855,8.583925965266449
2018-04-25,8845.740234375,9745.3203125,8799.83984375,9701.0302734375,11083100160,64,Greed,1524614400,,91.16999816894533,1.51,8896.64740234375,,-851.759765625,0.0,851.759765625,218.65572684151786,76.37712751116071,2.862843026003649,74.11233142873625,7741.67744140625,869.6806661339035,9481.038773674058,6002.316109138443,-8.78329224671307
2018-04-26,9281.509765625,9281.509765625,8727.08984375,8867.3203125,8970559488,47,Neutral,1524700800,,91.55999755859376,1.51,8903.74619140625,,435.76953125,435.76953125,-0.0,249.78212193080358,73.35072544642857,3.4053122230294917,77.30013335326527,7814.100927734375,935.509374194646,9685.119676123666,5943.082179345082,4.9263206888732425
2018-04-27,8987.0498046875,9375.4697265625,8987.0498046875,9290.6298828125,7566289920,55,Greed,1524787200,,91.54000091552734,1.51,8911.52099609375,,-294.4599609375,0.0,294.4599609375,249.78212193080358,81.87283761160714,3.0508545839797776,75.3138509598746,7865.729418945312,971.4658149393504,9808.661048824013,5922.797789066612,-3.1725437819185576
2018-04-30,9240.5498046875,9477.1396484375,9166.8095703125,9426.1103515625,8673920000,59,Greed,1525046400,,91.83999633789062,1.51,8906.43939453125,,253.5,253.5,-0.0,258.28853934151783,81.87283761160714,3.1547525024941874,75.93117762370494,7969.471899414062,1003.048272343017,9975.568444100096,5963.3753547280285,2.820725438372196
2018-05-01,9119.009765625,9255.8798828125,8891.0498046875,9251.4697265625,7713019904,56,Greed,1525132800,,92.4499969482422,1.7,8885.49158203125,,-121.5400390625,0.0,121.5400390625,253.71498325892858,90.55426897321429,2.8018003583461843,73.696672477694,8071.232397460937,1011.666919483733,10094.566236428403,6047.898558493471,-1.3152901248456694
2018-05-02,9235.919921875,9256.51953125,9015.1396484375,9104.599609375,7558159872,52,Neutral,1525219200,,92.51000213623048,1.7,8865.53197265625,,116.91015625,116.91015625,-0.0,252.52570452008928,90.55426897321429,2.788667032305078,73.60549260536136,8160.222900390625,1032.770017421542,10225.76293523371,6094.682865547541,1.2820488107240013
2018-05-03,9743.8603515625,9798.330078125,9188.150390625,9233.9697265625,10207299584,55,Greed,1525305600,,92.41000366210938,1.7,8832.33517578125,,507.9404296875,507.9404296875,-0.0,223.02643694196428,90.55426897321429,2.4629036208987,71.12249980146782,8304.72392578125,1042.500138283736,10389.724202348723,6219.723649213778,5.499619247287524
2018-05-04,9700.759765625,9779.2001953125,9585.9599609375,9695.5,8217829888,56,Greed,1525392000,,92.56999969482422,1.7,8812.54236328125,,-43.1005859375,0.0,43.1005859375,222.54715401785714,93.63288225446429,2.376805548002303,70.38621307076465,8449.188403320313,1024.7216295580374,10498.631662436388,6399.745144204238,-0.4423358338729533
2018-05-07,9373.009765625,9665.849609375,9231.5302734375,9645.669921875,7394019840,56,Greed,1525651200,,92.75,1.7,8799.90255859375,,-327.75,0.0,327.75,222.10930524553572,117.04359654017857,1.8976630231051583,65.48943089564665,8586.022900390624,949.8895718695711,10485.802044129767,6686.243756651482,-3.3786013458594666
2018-05-08,9234.8203125,9462.75,9127.76953125,9380.8701171875,7415869952,62,Greed,1525737600,,93.12000274658205,1.7,8778.57697265625,,-138.189453125,0.0,138.189453125,203.44287109375,126.91427176339286,1.6029944329116108,61.58270692567567,8709.227416992188,857.3391030516098,10423.905623095407,6994.549210888968,-1.4743338221176572
2018-05-09,9325.1796875,9374.759765625,9031.6201171875,9223.73046875,7226890240,53,Neutral,1525824000,,93.04000091552734,1.7,8757.7465625,,90.359375,90.359375,-0.0,200.5478515625,126.91427176339286,1.5801836056419465,61.24306821369787,8833.748413085938,744.1432752877478,10322.034963661434,7345.461862510442,0.9784638135047707
2018-05-10,9043.9404296875,9396.0400390625,9040.51953125,9325.9599609375,6906699776,63,Greed,1525910400,,92.6500015258789,1.7,8724.11337890625,,-281.2392578125,0.0,281.2392578125,161.15352957589286,147.00279017857142,1.0962617061902828,52.29603264482724,8937.529443359375,601.3223099203626,10140.1740632001,7734.884823518651,-3.0159124782280555
2018-05-11,8441.490234375,9052.9599609375,8394.4599609375,9052.9599609375,8488520192,41,Fear,1525996800,,92.54000091552734,1.7,8684.98517578125,,-602.4501953125,0.0,602.4501953125,155.07854352678572,190.03494698660714,0.8160527628516402,44.935520572113816,8965.141455078125,562.0497510011261,10089.240957080377,7841.041953075873,-6.661368459868511
2018-05-14,8716.7900390625,8881.1201171875,8367.9697265625,8713.099609375,7364149760,40,Fear,1526256000,,92.58999633789062,1.7,8640.3009765625,,275.2998046875,275.2998046875,-0.0,119.98423549107143,190.03494698660714,0.6313798456213815,38.70219724216914,9006.182958984375,507.1561467725581,10020.49525252949,7991.870665439258,3.2612701909721764
2018-05-15,8510.3798828125,8836.1904296875,8456.4501953125,8705.1904296875,6705710080,40,Fear,1526342400,,93.22000122070312,1.7,8588.78056640625,,-206.41015625,0.0,206.41015625,119.98423549107143,143.93854631696428,0.8335795974127491,45.46187133566286,9036.5974609375,452.7830915354152,9942.163644008331,8131.03127786667,-2.3679606291423294
2018-05-16,8368.830078125,8508.4296875,8175.490234375,8504.41015625,6760220160,32,Fear,1526428800,,93.38999938964844,1.7,8524.691171875,,-141.5498046875,0.0,141.5498046875,88.85784040178571,154.04924665178572,0.5768145079127894,36.58099954168432,9046.86796875,433.86892441196284,9914.605817573927,8179.130119926075,-1.6632607079429262
2018-05-17,8094.31982421875,8445.5400390625,8054.1201171875,8370.0498046875,5862530048,31,Fear,1526515200,,93.47000122070312,1.7,8470.979560546875,,-274.51025390625,0.0,274.51025390625,88.85784040178571,152.624267578125,0.5821999463899235,36.796862982982546,9036.868481445312,453.96537414336916,9944.79922973205,8128.937733158574,-3.280150885412081
2018-05-18,8250.9697265625,8274.1201171875,7974.81982421875,8091.830078125,5764190208,37,Fear,1526601600,,93.63999938964844,1.7,8436.687548828126,,156.64990234375,156.64990234375,-0.0,81.93997628348214,152.624267578125,0.5368738378484854,34.932850350297514,9007.125463867187,485.5303609668599,9978.186185800907,8036.064741933467,1.9353065575076878
2018-05-21,8418.990234375,8557.51953125,8365.1201171875,8522.330078125,5154990080,41,Fear,1526860800,,93.68000030517578,1.7,8417.167158203125,,168.0205078125,168.0205078125,-0.0,93.94144112723214,143.94283621651786,0.6526301940162277,39.49039515187627,8981.530981445312,502.9409825125012,9987.412946470315,7975.64901642031,2.0363728553213445
